Training method,trainable_params,non_trainable_params,encoding,scaled,Method,train_accuracy,train_recall,train_precision,train_f1_score,test_accuracy,test_recall,test_precision,test_f1_score,Overfitting-Accuracy,Overfitting-Precision,Overfitting-Recall,Overfitting-F1 score
Architecture A,67735.0,0.0,Group_0,0,Properties,0.141866666666667,0.141866666666667,0.141866666666667,0.141866666666667,0.145828571428571,0.145828571428571,0.145828571428571,0.145828571428571,0.9793117866666666,0.9793117866666666,0.9793117866666666,0.9793117866666666
Architecture A,67735.0,0.0,Group_0,1,Properties,0.542438095238095,0.542438095238095,0.542438095238095,0.542438095238095,0.279314285714286,0.279314285714286,0.279314285714286,0.279314285714286,0.8484892908843537,0.8484892908843537,0.8484892908843537,0.8484892908843537
Architecture A,34967.0,0.0,Group_1,0,FFT,0.142019047619048,0.142019047619048,0.142019047619048,0.142019047619048,0.145371428571429,0.145371428571429,0.145371428571429,0.145371428571429,0.9793544881632652,0.9793544881632652,0.9793544881632652,0.9793544881632652
Architecture A,34967.0,0.0,Group_1,1,FFT,0.752495238095238,0.752495238095238,0.752495238095238,0.752495238095238,0.199885714285714,0.199885714285714,0.199885714285714,0.199885714285714,0.8495869518367349,0.8495869518367349,0.8495869518367349,0.8495869518367349
Architecture A,34967.0,0.0,Group_2,0,FFT,0.14167619047619,0.14167619047619,0.14167619047619,0.14167619047619,0.1464,0.1464,0.1464,0.1464,0.9792586057142858,0.9792586057142858,0.9792586057142858,0.9792586057142858
Architecture A,67735.0,0.0,Group_2,0,Properties,0.140990476190476,0.140990476190476,0.140990476190476,0.140990476190476,0.148457142857143,0.148457142857143,0.148457142857143,0.148457142857143,0.9790689567346939,0.9790689567346939,0.9790689567346939,0.9790689567346939
Architecture A,34967.0,0.0,Group_2,1,FFT,0.715885714285714,0.715885714285714,0.715885714285714,0.715885714285714,0.209485714285714,0.209485714285714,0.209485714285714,0.209485714285714,0.8500321697959187,0.8500321697959187,0.8500321697959187,0.8500321697959187
Architecture A,67735.0,0.0,Group_2,1,Properties,0.876457142857143,0.876457142857143,0.876457142857143,0.876457142857143,0.370628571428571,0.370628571428571,0.370628571428571,0.370628571428571,0.6751599412244902,0.6751599412244902,0.6751599412244902,0.6751599412244902
Architecture A,34967.0,0.0,Group_3,0,FFT,0.143542857142857,0.143542857142857,0.143542857142857,0.143542857142857,0.1408,0.1408,0.1408,0.1408,0.9797891657142858,0.9797891657142858,0.9797891657142858,0.9797891657142858
Architecture A,67735.0,0.0,Group_3,0,Properties,0.143085714285714,0.143085714285714,0.143085714285714,0.143085714285714,0.142171428571429,0.142171428571429,0.142171428571429,0.142171428571429,0.9796572995918367,0.9796572995918367,0.9796572995918367,0.9796572995918367
Architecture A,34967.0,0.0,Group_3,1,FFT,0.789980952380952,0.789980952380952,0.789980952380952,0.789980952380952,0.215885714285714,0.215885714285714,0.215885714285714,0.215885714285714,0.8294543978231296,0.8294543978231296,0.8294543978231296,0.8294543978231296
Architecture A,67735.0,0.0,Group_3,1,Properties,0.604952380952381,0.604952380952381,0.604952380952381,0.604952380952381,0.313142857142857,0.313142857142857,0.313142857142857,0.313142857142857,0.8105634829931974,0.8105634829931974,0.8105634829931974,0.8105634829931974
Architecture A,34967.0,0.0,Group_4,0,FFT,0.144,0.144,0.144,0.144,0.139542857142857,0.139542857142857,0.139542857142857,0.139542857142857,0.9799058285714286,0.9799058285714286,0.9799058285714286,0.9799058285714286
Architecture A,67735.0,0.0,Group_4,0,Properties,0.142933333333333,0.142933333333333,0.142933333333333,0.142933333333333,0.142628571428571,0.142628571428571,0.142628571428571,0.142628571428571,0.9796136228571429,0.9796136228571429,0.9796136228571429,0.9796136228571429
Architecture A,34967.0,0.0,Group_4,1,FFT,0.76072380952381,0.76072380952381,0.76072380952381,0.76072380952381,0.195885714285714,0.195885714285714,0.195885714285714,0.195885714285714,0.850985073197279,0.850985073197279,0.850985073197279,0.850985073197279
Architecture A,67735.0,0.0,Group_4,1,Properties,0.761828571428571,0.761828571428571,0.761828571428571,0.761828571428572,0.385828571428571,0.385828571428571,0.385828571428571,0.385828571428571,0.7060647706122454,0.7060647706122454,0.7060647706122454,0.7060647706122449
Architecture A,34967.0,0.0,Group_5,0,FFT,0.144190476190476,0.144190476190476,0.144190476190476,0.144190476190476,0.138857142857143,0.138857142857143,0.138857142857143,0.138857142857143,0.9799781224489796,0.9799781224489796,0.9799781224489796,0.9799781224489796
Architecture A,67735.0,0.0,Group_5,0,Properties,0.142514285714286,0.142514285714286,0.142514285714286,0.142514285714286,0.143885714285714,0.143885714285714,0.143885714285714,0.143885714285714,0.9794942302040817,0.9794942302040817,0.9794942302040817,0.9794942302040817
Architecture A,34967.0,0.0,Group_5,1,FFT,0.709066666666667,0.709066666666667,0.709066666666667,0.709066666666667,0.189028571428571,0.189028571428571,0.189028571428571,0.189028571428571,0.8659661409523812,0.8659661409523812,0.8659661409523812,0.8659661409523812
Architecture A,67735.0,0.0,Group_5,1,Properties,0.669371428571429,0.669371428571429,0.669371428571429,0.669371428571429,0.338057142857143,0.338057142857143,0.338057142857143,0.338057142857143,0.7737142073469385,0.7737142073469385,0.7737142073469385,0.7737142073469385
Architecture A,34967.0,0.0,Group_6,0,FFT,0.14392380952381,0.14392380952381,0.14392380952381,0.14392380952381,0.139657142857143,0.139657142857143,0.139657142857143,0.139657142857143,0.979900011972789,0.979900011972789,0.979900011972789,0.979900011972789
Architecture A,67735.0,0.0,Group_6,0,Properties,0.874019047619048,0.874019047619048,0.874019047619048,0.874019047619048,0.365257142857143,0.365257142857143,0.365257142857143,0.365257142857143,0.6807582998639453,0.6807582998639453,0.6807582998639453,0.6807582998639453
Architecture A,34967.0,0.0,Group_6,1,FFT,0.681028571428571,0.681028571428571,0.681028571428571,0.681028571428571,0.198628571428571,0.198628571428571,0.198628571428571,0.198628571428571,0.8647282677551025,0.8647282677551025,0.8647282677551025,0.8647282677551025
Architecture A,67735.0,0.0,Group_6,1,Properties,0.887809523809524,0.887809523809524,0.887809523809524,0.887809523809524,0.392342857142857,0.392342857142857,0.392342857142857,0.392342857142857,0.651674274829932,0.651674274829932,0.651674274829932,0.651674274829932
Architecture A,34967.0,0.0,Group_7,0,FFT,0.141942857142857,0.141942857142857,0.141942857142857,0.141942857142857,0.1456,0.1456,0.1456,0.1456,0.9793331200000001,0.9793331200000001,0.9793331200000001,0.9793331200000001
Architecture A,67735.0,0.0,Group_7,0,Properties,0.143695238095238,0.143695238095238,0.143695238095238,0.143695238095238,0.140342857142857,0.140342857142857,0.140342857142857,0.140342857142857,0.9798333997278912,0.9798333997278912,0.9798333997278912,0.9798333997278912
Architecture A,34967.0,0.0,Group_7,1,FFT,0.675580952380952,0.675580952380952,0.675580952380952,0.675580952380952,0.201942857142857,0.201942857142857,0.201942857142857,0.201942857142857,0.8635712522448982,0.8635712522448982,0.8635712522448982,0.8635712522448982
Architecture A,67735.0,0.0,Group_7,1,Properties,0.855047619047619,0.855047619047619,0.855047619047619,0.855047619047619,0.372228571428571,0.372228571428571,0.372228571428571,0.372228571428571,0.6817268462585038,0.6817268462585038,0.6817268462585038,0.6817268462585038
Architecture A,18583.0,0.0,bepler,0,PLM,0.86952380952381,0.86952380952381,0.86952380952381,0.869523809523809,0.780228571428571,0.780228571428571,0.780228571428571,0.780228571428571,0.3215726802721087,0.3215726802721087,0.3215726802721087,0.3215726802721095
Architecture A,18583.0,0.0,bepler,1,PLM,0.944114285714286,0.944114285714286,0.944114285714286,0.944114285714286,0.756228571428572,0.756228571428572,0.756228571428572,0.756228571428572,0.2860338024489788,0.2860338024489788,0.2860338024489788,0.2860338024489788
Architecture A,166039.0,0.0,esm,0,PLM,0.993638095238095,0.993638095238095,0.993638095238095,0.993638095238095,0.924457142857143,0.924457142857143,0.924457142857143,0.924457142857143,0.08142416544217701,0.08142416544217701,0.08142416544217701,0.08142416544217701
Architecture A,166039.0,0.0,esm,1,PLM,0.997066666666667,0.997066666666667,0.997066666666667,0.997066666666667,0.924114285714286,0.924114285714286,0.924114285714286,0.924114285714286,0.07859644952380895,0.07859644952380895,0.07859644952380895,0.07859644952380895
Architecture A,67735.0,0.0,fasttext,0,PLM,0.143428571428571,0.143428571428571,0.143428571428571,0.143428571428571,0.141485714285714,0.141485714285714,0.141485714285714,0.141485714285714,0.979706906122449,0.979706906122449,0.979706906122449,0.979706906122449
Architecture A,67735.0,0.0,fasttext,1,PLM,0.968495238095238,0.968495238095238,0.968495238095238,0.968495238095238,0.489142857142857,0.489142857142857,0.489142857142857,0.489142857142857,0.5262674721088437,0.5262674721088437,0.5262674721088437,0.5262674721088437
Architecture A,67735.0,0.0,glove,0,PLM,0.142095238095238,0.142095238095238,0.142095238095238,0.142095238095238,0.147314285714286,0.147314285714286,0.147314285714286,0.147314285714286,0.9790673414965986,0.9790673414965986,0.9790673414965986,0.9790673414965986
Architecture A,67735.0,0.0,glove,1,PLM,0.95752380952381,0.95752380952381,0.95752380952381,0.95752380952381,0.475657142857143,0.475657142857143,0.475657142857143,0.475657142857143,0.5445469605442173,0.5445469605442173,0.5445469605442173,0.5445469605442173
Architecture A,133271.0,0.0,plus_rnn,0,PLM,0.986895238095238,0.986895238095238,0.986895238095238,0.986895238095238,0.878628571428571,0.878628571428571,0.878628571428571,0.878628571428571,0.13288564680272152,0.13288564680272152,0.13288564680272152,0.13288564680272152
Architecture A,133271.0,0.0,plus_rnn,1,PLM,0.990780952380952,0.990780952380952,0.990780952380952,0.990780952380952,0.889371428571429,0.889371428571429,0.889371428571429,0.889371428571429,0.1188277289795917,0.1188277289795917,0.1188277289795917,0.1188277289795917
Architecture A,133271.0,0.0,prottrans,0,PLM,0.993104761904762,0.993104761904762,0.993104761904762,0.993104761904762,0.781828571428571,0.781828571428571,0.781828571428571,0.781828571428571,0.22356232272108878,0.22356232272108878,0.22356232272108878,0.22356232272108878
Architecture A,133271.0,0.0,prottrans,1,PLM,0.995847619047619,0.995847619047619,0.995847619047619,0.995847619047619,0.734171428571429,0.734171428571429,0.734171428571429,0.734171428571429,0.2688771308843534,0.2688771308843534,0.2688771308843534,0.2688771308843534
Architecture B,67735.0,0.0,Group_0,0,Properties,0.143695238095238,0.143695238095238,0.143695238095238,0.143695238095238,0.140342857142857,0.140342857142857,0.140342857142857,0.140342857142857,0.9798333997278912,0.9798333997278912,0.9798333997278912,0.9798333997278912
Architecture B,67735.0,0.0,Group_0,1,Properties,0.420152380952381,0.420152380952381,0.420152380952381,0.420152380952381,0.317828571428571,0.317828571428571,0.317828571428571,0.317828571428571,0.866463568979592,0.866463568979592,0.866463568979592,0.866463568979592
Architecture B,34967.0,0.0,Group_1,0,FFT,0.1424,0.1424,0.1424,0.1424,0.144228571428571,0.144228571428571,0.144228571428571,0.144228571428571,0.9794618514285715,0.9794618514285715,0.9794618514285715,0.9794618514285715
Architecture B,34967.0,0.0,Group_1,1,FFT,0.310666666666667,0.310666666666667,0.310666666666667,0.310666666666667,0.221485714285714,0.221485714285714,0.221485714285714,0.221485714285714,0.9311917714285715,0.9311917714285715,0.9311917714285715,0.9311917714285715
