Training method,trainable_params,non_trainable_params,encoding,scaled,Method,train_accuracy,train_recall,train_precision,train_f1_score,test_accuracy,test_recall,test_precision,test_f1_score
Architecture A,67735,0,Group_0,0,Properties,0.141866666666667,0.141866666666667,0.141866666666667,0.141866666666667,0.145828571428571,0.145828571428571,0.145828571428571,0.145828571428571
Architecture A,67735,0,Group_0,1,Properties,0.542438095238095,0.542438095238095,0.542438095238095,0.542438095238095,0.279314285714286,0.279314285714286,0.279314285714286,0.279314285714286
Architecture A,34967,0,Group_1,0,FFT,0.142019047619048,0.142019047619048,0.142019047619048,0.142019047619048,0.145371428571429,0.145371428571429,0.145371428571429,0.145371428571429
Architecture A,34967,0,Group_1,1,FFT,0.752495238095238,0.752495238095238,0.752495238095238,0.752495238095238,0.199885714285714,0.199885714285714,0.199885714285714,0.199885714285714
Architecture A,34967,0,Group_2,0,FFT,0.14167619047619,0.14167619047619,0.14167619047619,0.14167619047619,0.1464,0.1464,0.1464,0.1464
Architecture A,67735,0,Group_2,0,Properties,0.140990476190476,0.140990476190476,0.140990476190476,0.140990476190476,0.148457142857143,0.148457142857143,0.148457142857143,0.148457142857143
Architecture A,34967,0,Group_2,1,FFT,0.715885714285714,0.715885714285714,0.715885714285714,0.715885714285714,0.209485714285714,0.209485714285714,0.209485714285714,0.209485714285714
Architecture A,67735,0,Group_2,1,Properties,0.876457142857143,0.876457142857143,0.876457142857143,0.876457142857143,0.370628571428571,0.370628571428571,0.370628571428571,0.370628571428571
Architecture A,34967,0,Group_3,0,FFT,0.143542857142857,0.143542857142857,0.143542857142857,0.143542857142857,0.1408,0.1408,0.1408,0.1408
Architecture A,67735,0,Group_3,0,Properties,0.143085714285714,0.143085714285714,0.143085714285714,0.143085714285714,0.142171428571429,0.142171428571429,0.142171428571429,0.142171428571429
Architecture A,34967,0,Group_3,1,FFT,0.789980952380952,0.789980952380952,0.789980952380952,0.789980952380952,0.215885714285714,0.215885714285714,0.215885714285714,0.215885714285714
Architecture A,67735,0,Group_3,1,Properties,0.604952380952381,0.604952380952381,0.604952380952381,0.604952380952381,0.313142857142857,0.313142857142857,0.313142857142857,0.313142857142857
Architecture A,34967,0,Group_4,0,FFT,0.144,0.144,0.144,0.144,0.139542857142857,0.139542857142857,0.139542857142857,0.139542857142857
Architecture A,67735,0,Group_4,0,Properties,0.142933333333333,0.142933333333333,0.142933333333333,0.142933333333333,0.142628571428571,0.142628571428571,0.142628571428571,0.142628571428571
Architecture A,34967,0,Group_4,1,FFT,0.76072380952381,0.76072380952381,0.76072380952381,0.76072380952381,0.195885714285714,0.195885714285714,0.195885714285714,0.195885714285714
Architecture A,67735,0,Group_4,1,Properties,0.761828571428571,0.761828571428571,0.761828571428571,0.761828571428572,0.385828571428571,0.385828571428571,0.385828571428571,0.385828571428571
Architecture A,34967,0,Group_5,0,FFT,0.144190476190476,0.144190476190476,0.144190476190476,0.144190476190476,0.138857142857143,0.138857142857143,0.138857142857143,0.138857142857143
Architecture A,67735,0,Group_5,0,Properties,0.142514285714286,0.142514285714286,0.142514285714286,0.142514285714286,0.143885714285714,0.143885714285714,0.143885714285714,0.143885714285714
Architecture A,34967,0,Group_5,1,FFT,0.709066666666667,0.709066666666667,0.709066666666667,0.709066666666667,0.189028571428571,0.189028571428571,0.189028571428571,0.189028571428571
Architecture A,67735,0,Group_5,1,Properties,0.669371428571429,0.669371428571429,0.669371428571429,0.669371428571429,0.338057142857143,0.338057142857143,0.338057142857143,0.338057142857143
Architecture A,34967,0,Group_6,0,FFT,0.14392380952381,0.14392380952381,0.14392380952381,0.14392380952381,0.139657142857143,0.139657142857143,0.139657142857143,0.139657142857143
Architecture A,67735,0,Group_6,0,Properties,0.874019047619048,0.874019047619048,0.874019047619048,0.874019047619048,0.365257142857143,0.365257142857143,0.365257142857143,0.365257142857143
Architecture A,34967,0,Group_6,1,FFT,0.681028571428571,0.681028571428571,0.681028571428571,0.681028571428571,0.198628571428571,0.198628571428571,0.198628571428571,0.198628571428571
Architecture A,67735,0,Group_6,1,Properties,0.887809523809524,0.887809523809524,0.887809523809524,0.887809523809524,0.392342857142857,0.392342857142857,0.392342857142857,0.392342857142857
Architecture A,34967,0,Group_7,0,FFT,0.141942857142857,0.141942857142857,0.141942857142857,0.141942857142857,0.1456,0.1456,0.1456,0.1456
Architecture A,67735,0,Group_7,0,Properties,0.143695238095238,0.143695238095238,0.143695238095238,0.143695238095238,0.140342857142857,0.140342857142857,0.140342857142857,0.140342857142857
Architecture A,34967,0,Group_7,1,FFT,0.675580952380952,0.675580952380952,0.675580952380952,0.675580952380952,0.201942857142857,0.201942857142857,0.201942857142857,0.201942857142857
Architecture A,67735,0,Group_7,1,Properties,0.855047619047619,0.855047619047619,0.855047619047619,0.855047619047619,0.372228571428571,0.372228571428571,0.372228571428571,0.372228571428571
Architecture A,18583,0,bepler,0,PLM,0.86952380952381,0.86952380952381,0.86952380952381,0.869523809523809,0.780228571428571,0.780228571428571,0.780228571428571,0.780228571428571
Architecture A,18583,0,bepler,1,PLM,0.944114285714286,0.944114285714286,0.944114285714286,0.944114285714286,0.756228571428572,0.756228571428572,0.756228571428572,0.756228571428572
Architecture A,166039,0,esm,0,PLM,0.993638095238095,0.993638095238095,0.993638095238095,0.993638095238095,0.924457142857143,0.924457142857143,0.924457142857143,0.924457142857143
Architecture A,166039,0,esm,1,PLM,0.997066666666667,0.997066666666667,0.997066666666667,0.997066666666667,0.924114285714286,0.924114285714286,0.924114285714286,0.924114285714286
Architecture A,67735,0,fasttext,0,PLM,0.143428571428571,0.143428571428571,0.143428571428571,0.143428571428571,0.141485714285714,0.141485714285714,0.141485714285714,0.141485714285714
Architecture A,67735,0,fasttext,1,PLM,0.968495238095238,0.968495238095238,0.968495238095238,0.968495238095238,0.489142857142857,0.489142857142857,0.489142857142857,0.489142857142857
Architecture A,67735,0,glove,0,PLM,0.142095238095238,0.142095238095238,0.142095238095238,0.142095238095238,0.147314285714286,0.147314285714286,0.147314285714286,0.147314285714286
Architecture A,67735,0,glove,1,PLM,0.95752380952381,0.95752380952381,0.95752380952381,0.95752380952381,0.475657142857143,0.475657142857143,0.475657142857143,0.475657142857143
Architecture A,133271,0,plus_rnn,0,PLM,0.986895238095238,0.986895238095238,0.986895238095238,0.986895238095238,0.878628571428571,0.878628571428571,0.878628571428571,0.878628571428571
Architecture A,133271,0,plus_rnn,1,PLM,0.990780952380952,0.990780952380952,0.990780952380952,0.990780952380952,0.889371428571429,0.889371428571429,0.889371428571429,0.889371428571429
Architecture A,133271,0,prottrans,0,PLM,0.993104761904762,0.993104761904762,0.993104761904762,0.993104761904762,0.781828571428571,0.781828571428571,0.781828571428571,0.781828571428571
Architecture A,133271,0,prottrans,1,PLM,0.995847619047619,0.995847619047619,0.995847619047619,0.995847619047619,0.734171428571429,0.734171428571429,0.734171428571429,0.734171428571429
Architecture B,67735,0,Group_0,0,Properties,0.143695238095238,0.143695238095238,0.143695238095238,0.143695238095238,0.140342857142857,0.140342857142857,0.140342857142857,0.140342857142857
Architecture B,67735,0,Group_0,1,Properties,0.420152380952381,0.420152380952381,0.420152380952381,0.420152380952381,0.317828571428571,0.317828571428571,0.317828571428571,0.317828571428571
Architecture B,34967,0,Group_1,0,FFT,0.1424,0.1424,0.1424,0.1424,0.144228571428571,0.144228571428571,0.144228571428571,0.144228571428571
Architecture B,34967,0,Group_1,1,FFT,0.310666666666667,0.310666666666667,0.310666666666667,0.310666666666667,0.221485714285714,0.221485714285714,0.221485714285714,0.221485714285714
Architecture B,34967,0,Group_2,0,FFT,0.14232380952381,0.14232380952381,0.14232380952381,0.14232380952381,0.144457142857143,0.144457142857143,0.144457142857143,0.144457142857143
Architecture B,67735,0,Group_2,0,Properties,0.143961904761905,0.143961904761905,0.143961904761905,0.143961904761905,0.139542857142857,0.139542857142857,0.139542857142857,0.139542857142857
Architecture B,34967,0,Group_2,1,FFT,0.295466666666667,0.295466666666667,0.295466666666667,0.295466666666667,0.229371428571429,0.229371428571429,0.229371428571429,0.229371428571429
Architecture B,67735,0,Group_2,1,Properties,0.488076190476191,0.488076190476191,0.488076190476191,0.488076190476191,0.382285714285714,0.382285714285714,0.382285714285714,0.382285714285714
Architecture B,34967,0,Group_3,0,FFT,0.144571428571429,0.144571428571429,0.144571428571429,0.144571428571429,0.137714285714286,0.137714285714286,0.137714285714286,0.137714285714286
Architecture B,67735,0,Group_3,0,Properties,0.142285714285714,0.142285714285714,0.142285714285714,0.142285714285714,0.144571428571429,0.144571428571429,0.144571428571429,0.144571428571429
Architecture B,34967,0,Group_3,1,FFT,0.320038095238095,0.320038095238095,0.320038095238095,0.320038095238095,0.230057142857143,0.230057142857143,0.230057142857143,0.230057142857143
Architecture B,67735,0,Group_3,1,Properties,0.445942857142857,0.445942857142857,0.445942857142857,0.445942857142857,0.344114285714286,0.344114285714286,0.344114285714286,0.344114285714286
Architecture B,34967,0,Group_4,0,FFT,0.141866666666667,0.141866666666667,0.141866666666667,0.141866666666667,0.145828571428571,0.145828571428571,0.145828571428571,0.145828571428571
Architecture B,67735,0,Group_4,0,Properties,0.141904761904762,0.141904761904762,0.141904761904762,0.141904761904762,0.145714285714286,0.145714285714286,0.145714285714286,0.145714285714286
Architecture B,34967,0,Group_4,1,FFT,0.303085714285714,0.303085714285714,0.303085714285714,0.303085714285714,0.223085714285714,0.223085714285714,0.223085714285714,0.223085714285714
Architecture B,67735,0,Group_4,1,Properties,0.501828571428571,0.501828571428571,0.501828571428571,0.501828571428571,0.3816,0.3816,0.3816,0.3816
Architecture B,34967,0,Group_5,0,FFT,0.139390476190476,0.139390476190476,0.139390476190476,0.139390476190476,0.153257142857143,0.153257142857143,0.153257142857143,0.153257142857143
Architecture B,67735,0,Group_5,0,Properties,0.143733333333333,0.143733333333333,0.143733333333333,0.143733333333333,0.140228571428571,0.140228571428571,0.140228571428571,0.140228571428571
Architecture B,34967,0,Group_5,1,FFT,0.319847619047619,0.319847619047619,0.319847619047619,0.319847619047619,0.222857142857143,0.222857142857143,0.222857142857143,0.222857142857143
Architecture B,67735,0,Group_5,1,Properties,0.486361904761905,0.486361904761905,0.486361904761905,0.486361904761905,0.369371428571429,0.369371428571429,0.369371428571429,0.369371428571429
Architecture B,34967,0,Group_6,0,FFT,0.144,0.144,0.144,0.144,0.139428571428571,0.139428571428571,0.139428571428571,0.139428571428571
Architecture B,67735,0,Group_6,0,Properties,0.144685714285714,0.144685714285714,0.144685714285714,0.144685714285714,0.137371428571429,0.137371428571429,0.137371428571429,0.137371428571429
Architecture B,34967,0,Group_6,1,FFT,0.296571428571429,0.296571428571429,0.296571428571429,0.296571428571429,0.231314285714286,0.231314285714286,0.231314285714286,0.231314285714286
Architecture B,67735,0,Group_6,1,Properties,0.595085714285714,0.595085714285714,0.595085714285714,0.595085714285714,0.474742857142857,0.474742857142857,0.474742857142857,0.474742857142857
Architecture B,34967,0,Group_7,0,FFT,0.144380952380952,0.144380952380952,0.144380952380952,0.144380952380952,0.138285714285714,0.138285714285714,0.138285714285714,0.138285714285714
Architecture B,67735,0,Group_7,0,Properties,0.144380952380952,0.144380952380952,0.144380952380952,0.144380952380952,0.138285714285714,0.138285714285714,0.138285714285714,0.138285714285714
Architecture B,34967,0,Group_7,1,FFT,0.309980952380952,0.309980952380952,0.309980952380952,0.309980952380952,0.228228571428571,0.228228571428571,0.228228571428571,0.228228571428571
Architecture B,67735,0,Group_7,1,Properties,0.614133333333333,0.614133333333333,0.614133333333333,0.614133333333333,0.479085714285714,0.479085714285714,0.479085714285714,0.479085714285714
Architecture B,18583,0,bepler,0,PLM,0.7096,0.7096,0.7096,0.7096,0.693942857142857,0.693942857142857,0.693942857142857,0.693942857142857
Architecture B,18583,0,bepler,1,PLM,0.769790476190476,0.769790476190476,0.769790476190476,0.769790476190476,0.736,0.736,0.736,0.736
Architecture B,166039,0,esm,0,PLM,0.992114285714286,0.992114285714286,0.992114285714286,0.992114285714286,0.948342857142857,0.948342857142857,0.948342857142857,0.948342857142857
Architecture B,166039,0,esm,1,PLM,0.995847619047619,0.995847619047619,0.995847619047619,0.995847619047619,0.947657142857143,0.947657142857143,0.947657142857143,0.947657142857143
Architecture B,67735,0,fasttext,0,PLM,0.141333333333333,0.141333333333333,0.141333333333333,0.141333333333333,0.147428571428571,0.147428571428571,0.147428571428571,0.147428571428571
Architecture B,67735,0,fasttext,1,PLM,0.728952380952381,0.728952380952381,0.728952380952381,0.728952380952381,0.528,0.528,0.528,0.528
Architecture B,67735,0,glove,0,PLM,0.141142857142857,0.141142857142857,0.141142857142857,0.141142857142857,0.148571428571429,0.148571428571429,0.148571428571429,0.148571428571429
Architecture B,67735,0,glove,1,PLM,0.684876190476191,0.684876190476191,0.684876190476191,0.684876190476191,0.507542857142857,0.507542857142857,0.507542857142857,0.507542857142857
Architecture B,133271,0,plus_rnn,0,PLM,0.913866666666667,0.913866666666667,0.913866666666667,0.913866666666667,0.866171428571429,0.866171428571429,0.866171428571429,0.866171428571429
Architecture B,133271,0,plus_rnn,1,PLM,0.988152380952381,0.988152380952381,0.988152380952381,0.988152380952381,0.9,0.9,0.9,0.9
Architecture B,133271,0,prottrans,0,PLM,0.14247619047619,0.14247619047619,0.14247619047619,0.14247619047619,0.144,0.144,0.144,0.144
Architecture B,133271,0,prottrans,1,PLM,0.969295238095238,0.969295238095238,0.969295238095238,0.969295238095238,0.767542857142857,0.767542857142857,0.767542857142857,0.767542857142857
Architecture C,75527,0,Group_0,0,Properties,0.140190476190476,0.140190476190476,0.140190476190476,0.140190476190476,0.150857142857143,0.150857142857143,0.150857142857143,0.150857142857143
Architecture C,75527,0,Group_0,1,Properties,0.433676190476191,0.433676190476191,0.433676190476191,0.433676190476191,0.3208,0.3208,0.3208,0.3208
Architecture C,46855,0,Group_1,0,FFT,0.142933333333333,0.142933333333333,0.142933333333333,0.142933333333333,0.142628571428571,0.142628571428571,0.142628571428571,0.142628571428571
Architecture C,46855,0,Group_1,1,FFT,0.338209523809524,0.338209523809524,0.338209523809524,0.338209523809524,0.226285714285714,0.226285714285714,0.226285714285714,0.226285714285714
Architecture C,46855,0,Group_2,0,FFT,0.143771428571429,0.143771428571429,0.143771428571429,0.143771428571429,0.140114285714286,0.140114285714286,0.140114285714286,0.140114285714286
Architecture C,75527,0,Group_2,0,Properties,0.144685714285714,0.144685714285714,0.144685714285714,0.144685714285714,0.137371428571429,0.137371428571429,0.137371428571429,0.137371428571429
