p1,p2,response
36.62228,-34.455387,Oxidoreductases
17.21659,-66.51813,Oxidoreductases
6.3465877,25.009174,Oxidoreductases
33.472015,-54.137093,Oxidoreductases
20.228064,78.09237,Oxidoreductases
-29.676994,-29.644629,Oxidoreductases
-1.388936,-62.591087,Oxidoreductases
-44.79324,-74.25511,Oxidoreductases
17.210897,-66.517296,Oxidoreductases
-45.10071,-72.45823,Oxidoreductases
47.679775,8.836728,Oxidoreductases
72.95373,28.625818,Oxidoreductases
9.964566,27.798506,Oxidoreductases
-0.8446854,-17.406092,Oxidoreductases
-29.65126,7.840895,Oxidoreductases
34.624805,38.963787,Oxidoreductases
67.767395,-39.468372,Oxidoreductases
-45.316307,-74.39682,Oxidoreductases
10.843063,-17.344297,Oxidoreductases
-45.96789,-73.95355,Oxidoreductases
21.445097,17.838354,Oxidoreductases
-32.005547,29.23593,Oxidoreductases
-12.3637905,-60.015923,Oxidoreductases
-10.960589,-2.7710087,Oxidoreductases
67.766136,-39.469402,Oxidoreductases
-74.91882,15.165205,Oxidoreductases
25.104588,19.83028,Oxidoreductases
-17.27813,-47.06846,Oxidoreductases
-58.112392,44.259495,Oxidoreductases
-6.187132,-13.275886,Oxidoreductases
4.8705993,-22.42756,Oxidoreductases
79.825584,-66.87144,Oxidoreductases
79.825584,-66.87144,Oxidoreductases
10.831341,-24.646679,Oxidoreductases
59.445026,-28.295519,Oxidoreductases
67.7643,-39.465515,Oxidoreductases
5.8963385,-52.530247,Oxidoreductases
11.179899,9.029028,Oxidoreductases
-45.497726,-74.56853,Oxidoreductases
-33.78745,11.151107,Oxidoreductases
-9.777947,-25.020725,Oxidoreductases
-50.074345,49.153408,Oxidoreductases
-12.449058,16.94176,Oxidoreductases
-56.633694,35.03881,Oxidoreductases
-48.447933,-8.689667,Oxidoreductases
-45.29483,-70.9093,Oxidoreductases
14.820318,-26.516775,Oxidoreductases
28.934446,-30.18767,Oxidoreductases
26.87836,12.670752,Oxidoreductases
16.961088,-37.509785,Oxidoreductases
-16.913422,60.52523,Oxidoreductases
67.76299,-39.46448,Oxidoreductases
18.574276,77.437675,Oxidoreductases
17.54271,-48.283905,Oxidoreductases
73.50403,-8.472682,Oxidoreductases
67.76135,-39.46301,Oxidoreductases
-44.875675,-74.31634,Oxidoreductases
-45.194622,-72.19215,Oxidoreductases
-46.376743,5.195649,Oxidoreductases
18.571072,77.43649,Oxidoreductases
-45.359425,-74.340385,Oxidoreductases
25.949135,-42.41657,Oxidoreductases
-0.27766663,6.8138413,Oxidoreductases
4.3702164,-19.435205,Oxidoreductases
80.22301,-23.79749,Oxidoreductases
75.31798,-32.2017,Oxidoreductases
3.939912,4.194477,Oxidoreductases
-5.0470862,71.37668,Oxidoreductases
36.415173,69.42505,Oxidoreductases
