p1,p2,response
14.125342,-0.7849897,Oxidoreductases
-31.06294,-75.58826,Oxidoreductases
-31.06378,-75.59123,Oxidoreductases
69.55738,-23.186903,Oxidoreductases
42.854034,-44.159454,Oxidoreductases
25.758371,-25.825907,Oxidoreductases
-18.59328,-4.0287333,Oxidoreductases
-20.002409,38.163345,Oxidoreductases
7.7463245,26.579388,Oxidoreductases
17.511204,25.395231,Oxidoreductases
-55.0211,31.930906,Oxidoreductases
-56.18786,10.798929,Oxidoreductases
-12.549847,9.789743,Oxidoreductases
-37.73892,35.52994,Oxidoreductases
-69.759,21.33286,Oxidoreductases
-6.179698,-16.59891,Oxidoreductases
-19.167093,-59.125977,Oxidoreductases
-10.35777,-48.97227,Oxidoreductases
-15.145463,1.7025543,Oxidoreductases
-9.916104,28.769701,Oxidoreductases
18.72858,-40.871002,Oxidoreductases
-30.401608,-22.367575,Oxidoreductases
-47.4329,44.096207,Oxidoreductases
-55.01586,31.909557,Oxidoreductases
-25.908798,-31.119257,Oxidoreductases
-6.5526996,51.76947,Oxidoreductases
-4.334098,-31.290918,Oxidoreductases
-58.469666,77.66255,Oxidoreductases
3.9017522,6.2211194,Oxidoreductases
2.9740498,-39.161964,Oxidoreductases
-31.432129,-25.674698,Oxidoreductases
-46.44911,7.839057,Oxidoreductases
-21.20795,21.637606,Oxidoreductases
-9.198434,35.413662,Oxidoreductases
-16.281649,-29.3023,Oxidoreductases
23.45501,18.360483,Oxidoreductases
-29.905548,10.518543,Oxidoreductases
-73.298546,-2.948551,Oxidoreductases
11.711134,-4.433405,Oxidoreductases
-24.103184,-42.938812,Oxidoreductases
37.61073,19.863554,Oxidoreductases
55.996002,-15.295876,Oxidoreductases
39.611813,19.622711,Oxidoreductases
-16.044342,8.974184,Oxidoreductases
7.7145357,-39.30831,Oxidoreductases
-18.857004,-44.162853,Oxidoreductases
-12.226548,-21.476656,Oxidoreductases
-55.122227,-8.461676,Oxidoreductases
32.97686,23.367804,Oxidoreductases
-40.601887,1.8891759,Oxidoreductases
36.14384,36.202892,Oxidoreductases
-30.305674,15.945981,Oxidoreductases
-1.9372697,-42.580765,Oxidoreductases
-12.401422,-41.4081,Oxidoreductases
-49.19011,-2.786411,Oxidoreductases
39.628292,-33.95172,Oxidoreductases
20.345335,47.14005,Oxidoreductases
-1.1717297,51.53158,Oxidoreductases
3.2633226,-47.197857,Oxidoreductases
22.960434,-16.242657,Oxidoreductases
16.941727,-23.543848,Oxidoreductases
26.143173,-33.532192,Oxidoreductases
-26.699196,4.398064,Oxidoreductases
11.618324,-13.210806,Oxidoreductases
4.235414,-44.650906,Oxidoreductases
63.685753,43.790096,Oxidoreductases
-23.269707,-15.955914,Oxidoreductases
-8.558391,-26.097034,Oxidoreductases
41.219692,-10.546678,Oxidoreductases
-13.774133,2.1033735,Oxidoreductases
32.176838,-44.037834,Oxidoreductases
24.039013,10.132965,Oxidoreductases
63.68592,43.77863,Oxidoreductases
-62.80159,-33.04723,Oxidoreductases
-23.36902,19.33518,Oxidoreductases
-16.765478,19.417265,Oxidoreductases
-0.9572088,8.04494,Oxidoreductases
58.72407,-53.399036,Oxidoreductases
12.021041,-24.248968,Oxidoreductases
-28.931633,-38.09506,Oxidoreductases
-28.94348,-38.09784,Oxidoreductases
19.86673,8.91305,Oxidoreductases
-3.8794186,9.406159,Oxidoreductases
31.163624,-28.106516,Oxidoreductases
8.042297,-16.711975,Oxidoreductases
-50.346123,19.711329,Oxidoreductases
-38.790462,-48.941322,Oxidoreductases
-5.9927826,-29.685059,Oxidoreductases
-35.50971,20.77135,Oxidoreductases
56.33456,-13.084878,Oxidoreductases
7.193989,53.549652,Oxidoreductases
-19.38025,31.372717,Oxidoreductases
-5.993447,-29.682266,Oxidoreductases
-16.985916,-2.44235,Oxidoreductases
1.6222824,-5.5636845,Oxidoreductases
-11.073767,-5.100787,Oxidoreductases
5.643031,43.740673,Oxidoreductases
58.71987,-53.395855,Oxidoreductases
-13.644002,-25.502592,Oxidoreductases
29.830767,0.32381484,Oxidoreductases
30.976477,24.335602,Oxidoreductases
-21.992935,59.173843,Oxidoreductases
56.266556,3.912594,Oxidoreductases
68.29502,-37.32425,Oxidoreductases
-46.07858,8.817657,Oxidoreductases
-27.878183,31.589859,Oxidoreductases
13.832393,23.663746,Oxidoreductases
2.7138457,-34.107883,Oxidoreductases
49.543354,21.475363,Oxidoreductases
15.895331,-10.442432,Oxidoreductases
-25.561745,-5.4687924,Oxidoreductases
-8.845758,-38.00826,Oxidoreductases
-32.938103,-22.371115,Oxidoreductases
5.967082,-49.080036,Oxidoreductases
-25.670418,24.163269,Oxidoreductases
16.663656,-17.53379,Oxidoreductases
-38.9403,-12.210915,Oxidoreductases
12.829851,-70.48095,Oxidoreductases
12.817857,-70.485405,Oxidoreductases
3.7928324,25.215523,Oxidoreductases
23.671131,6.805262,Oxidoreductases
32.61936,-4.33707,Oxidoreductases
48.335133,15.967531,Oxidoreductases
-39.09974,16.291822,Oxidoreductases
44.17507,6.9761696,Oxidoreductases
-54.874493,34.87693,Oxidoreductases
62.292778,48.282722,Oxidoreductases
-17.819803,-36.61951,Oxidoreductases
-17.907913,-35.430996,Oxidoreductases
23.093395,-26.669632,Oxidoreductases
-9.556952,4.0998406,Oxidoreductases
55.504772,20.499826,Oxidoreductases
14.62608,9.822135,Oxidoreductases
69.14621,-0.69782895,Oxidoreductases
-12.118673,29.501146,Oxidoreductases
-21.905937,-10.628668,Oxidoreductases
-41.001186,55.72112,Oxidoreductases
-36.16832,-3.9058957,Oxidoreductases
