p1,p2,response
136.06730598374753,18.49747033603405,Oxidoreductases
-302.963571330639,-136.00671937198842,Oxidoreductases
-69.69370061183788,30.98164692972871,Oxidoreductases
127.36400974370893,-7.754637237764123,Oxidoreductases
-18.209945895967326,267.1912571822945,Oxidoreductases
29.813574022011114,-147.6792277094722,Oxidoreductases
184.95443473644278,-213.54744955001962,Oxidoreductases
-157.27912022761993,426.936273695014,Oxidoreductases
-67.07458440292265,-86.52973315082573,Oxidoreductases
-65.96088942948715,395.20612390089536,Oxidoreductases
38.321457045648486,127.31609608256858,Oxidoreductases
-174.82792048208916,294.8257528582777,Oxidoreductases
-2.0631406668101175,336.4137063651635,Oxidoreductases
24.369502554162906,-206.80167829076015,Oxidoreductases
91.89658926814818,-24.916570327976352,Oxidoreductases
489.5797692876627,139.615820558282,Oxidoreductases
-81.34361423326398,354.46535806934094,Oxidoreductases
-189.8496810382036,224.3112925113648,Oxidoreductases
-167.67866392085918,-239.9316490630023,Oxidoreductases
-310.9609136168626,303.63238862587315,Oxidoreductases
-148.16180605333187,1.4265331618515622,Oxidoreductases
-214.85990360982575,-31.640920111692516,Oxidoreductases
-131.61297160378064,85.21760932087774,Oxidoreductases
163.7630054128697,-126.28167731169454,Oxidoreductases
-57.47342467052764,195.21296258002545,Oxidoreductases
-127.15024950598203,-312.2730761953877,Oxidoreductases
134.30504513252265,-96.94900918551512,Oxidoreductases
-266.80911049083926,-196.89220545150283,Oxidoreductases
15.610654118767316,-29.547349215406328,Oxidoreductases
48.159713293544804,66.80376252769388,Oxidoreductases
-323.2930052706746,159.62089752907204,Oxidoreductases
55.60524228114566,220.87736464510306,Oxidoreductases
55.60524228114566,220.87736464510306,Oxidoreductases
171.27568676090473,-163.2023552358726,Oxidoreductases
-345.45383015574697,20.230948363853145,Oxidoreductases
-143.7891724659682,85.28927467135829,Oxidoreductases
-494.65859047502806,65.47297037981323,Oxidoreductases
238.38923144215926,223.65997418675022,Oxidoreductases
-222.38685970731052,325.8780101528591,Oxidoreductases
-763.2237237769416,-66.87811251932906,Oxidoreductases
-296.1366460673175,-348.37437169386527,Oxidoreductases
-572.4185547404907,-233.85357699592308,Oxidoreductases
-219.2713267366245,184.160408379367,Oxidoreductases
-336.72523281414493,-96.13248306686572,Oxidoreductases
-469.0936720080194,-71.72983045375426,Oxidoreductases
-320.9284728489744,170.19117777402033,Oxidoreductases
-340.17349501798935,-49.98534675128074,Oxidoreductases
-159.50454950423514,-146.49176484817988,Oxidoreductases
486.4073215074718,-129.57382002492375,Oxidoreductases
138.11849141051846,140.49268461237492,Oxidoreductases
36.97750449347415,284.3480360978163,Oxidoreductases
-102.04538917781423,-211.8790366562451,Oxidoreductases
86.50480723830147,-115.53398498919185,Oxidoreductases
35.026705907739654,-102.07357078071372,Oxidoreductases
-150.0226950295882,87.35877498307157,Oxidoreductases
-128.89130154908688,83.20910571174005,Oxidoreductases
-40.12040273508947,219.40409544355526,Oxidoreductases
-94.53575973322415,244.29479956743495,Oxidoreductases
-219.05770594428816,-325.3629156719059,Oxidoreductases
260.54281620874724,-53.891269345731445,Oxidoreductases
-160.22475433991363,270.7871542927412,Oxidoreductases
-157.06912256162258,84.75674423946032,Oxidoreductases
-160.96844248527546,-213.0138090341064,Oxidoreductases
-331.56198130306586,124.88032186457703,Oxidoreductases
-212.7638698167093,-62.24693325330642,Oxidoreductases
-690.0442142666648,-10.407697803041048,Oxidoreductases
-151.7369597139209,103.44768776818752,Oxidoreductases
228.43929361243215,-22.92816763550634,Oxidoreductases
-429.8809558933045,-341.9662159122315,Oxidoreductases
-302.80350906410644,177.57103066022057,Oxidoreductases
-298.7953334141494,400.71774924910267,Oxidoreductases
-260.85795329953714,118.34529876773485,Oxidoreductases
-158.81207678044984,-198.00915840713506,Oxidoreductases
-192.9702981832,68.01857903670381,Oxidoreductases
-296.17943907112533,-55.75972403459042,Oxidoreductases
-189.78897385322307,-177.65053826272597,Oxidoreductases
81.97383014159125,153.5994608165626,Oxidoreductases
-434.68970254117596,-148.89077371570065,Oxidoreductases
-314.4477977564927,-45.198731650916784,Oxidoreductases
-737.0570276576447,-154.08446176890888,Oxidoreductases
-223.56849460390478,-56.59201730223469,Oxidoreductases
-46.69348690265055,76.43745651053143,Oxidoreductases
-154.24711209703327,402.805653083563,Oxidoreductases
-359.3085783421943,176.29335738480407,Oxidoreductases
-5.867088817247687,53.39107167926937,Oxidoreductases
136.7984041327002,-222.45943983072587,Oxidoreductases
23.515533607850532,-6.337607610520714,Oxidoreductases
-0.16885276424301934,127.91743253303005,Oxidoreductases
62.29440769930227,26.579277437932923,Oxidoreductases
-134.23057088132887,70.7380897540594,Oxidoreductases
-42.891234645091394,-122.9835160289769,Oxidoreductases
-132.90408994281503,70.74424396876154,Oxidoreductases
51.2315161629154,-73.3782060713359,Oxidoreductases
23.653545450844533,-50.621465761799904,Oxidoreductases
120.50892403818605,-34.13210231293031,Oxidoreductases
213.6812289635047,0.14636524097538403,Oxidoreductases
-20.20122714115183,-192.47854514844644,Oxidoreductases
-313.59173437154305,176.23576550439344,Oxidoreductases
-9.371117359121952,-159.02738443994951,Oxidoreductases
13.208098668244055,53.54230155873978,Oxidoreductases
-2.389518978479733,78.59411654456126,Oxidoreductases
60.232895903540296,-37.007376656735815,Oxidoreductases
-146.02680937657263,-26.206612453208088,Oxidoreductases
-120.05156202197435,-98.30603923382449,Oxidoreductases
17.273507368051867,151.4551826911372,Oxidoreductases
-26.385420307509573,-113.86144290949,Oxidoreductases
